player_name,conf,yr,role,Min_per,pts
Spencer Jones,P12,Jr,Wing G,66.8,8.1538
James Keefe,P12,Jr,C,16.6,1.25
Christian Ings,MEAC,Jr,Wing G,60.0,7.6818
Oumar Ballo,P12,So,C,11.7,2.5
Tyreke Locure,CUSA,Jr,Combo G,79.0,13.4615
Anton Watson,WCC,Jr,Wing F,47.2,6.875
Keeshawn Barthelemy,P12,So,Scoring PG,27.0,3.7333
N'Faly Dante,P12,Jr,C,9.5,8.1667
Bryan Antoine,BE,Jr,Combo G,11.7,2.3
Jay Heath,P12,Jr,Combo G,79.5,14.5263
Julian Rishwain,WCC,Jr,Wing F,38.5,7.8696
CJ Felder,SEC,Jr,Stretch 4,65.6,9.6842
KK Curry,OVC,Jr,PF/C,37.2,5.4815
Drew Timme,WCC,Jr,PF/C,70.1,19.0
Anthony Walker,ACC,Jr,Stretch 4,63.3,9.5769
Tom Welch,MVC,Jr,PF/C,21.4,4.8571
Marquise Kennedy,MVC,Jr,Wing G,42.5,7.2143
Abdoul Karim Coulibaly,A10,Jr,PF/C,56.1,5.1818
Kobe Brown,SEC,Jr,Stretch 4,52.9,8.0385
Tyler Wahl,B10,Jr,Wing F,61.2,5.1613
Dieonte Miles,BE,So,C,6.2,2.625
Cobe Williams,CUSA,Jr,Combo G,65.2,8.6129
Jalen Gaffney,BE,Jr,Combo G,48.3,6.087
Seth Lundy,B10,Jr,Stretch 4,58.9,10.08
Dahmir Bishop,A10,Jr,Wing G,63.5,7.6842
E.J. Liddell,B10,Jr,PF/C,68.0,16.1724
Zach Freemantle,BE,Jr,Stretch 4,78.0,16.1429
Justin McKoy,ACC,Jr,PF/C,21.3,3.5263
Trayce Jackson-Davis,B10,Jr,C,83.0,19.1111
Joshua Morgan,P12,Jr,C,1.3,0.2857
Romelle Mansel,BW,Jr,Wing F,31.2,3.7143
Kuany Kuany,P12,Jr,Stretch 4,20.5,2.3462
David Roddy,MWC,Jr,Wing F,78.4,16.2414
Robbie Beran,B10,Jr,Stretch 4,50.1,5.6667
Jaylen Forbes,Amer,Jr,Wing G,90.3,16.4348
Juwan Gary,SEC,So,PF/C,21.4,3.8333
PJ Fuller,P12,Jr,Combo G,56.7,5.8
Aidan Igiehon,WAC,Jr,C,5.1,2.6
Diante Smith,SB,Jr,Stretch 4,2.7,1.5
Taryn Todd,MWC,So,Combo G,43.7,4.5
Dontaie Allen,SEC,So,Wing G,31.8,5.3636
Anthony Harris,ACC,So,Scoring PG,15.2,3.1875
Mylik Wilson,B12,Jr,Combo G,83.6,12.9231
Jalen Bridges,B12,So,Stretch 4,43.2,5.9643
Jordan Wright,SEC,Jr,Wing G,56.3,8.7391
Michael Christmas,BSth,Jr,Stretch 4,36.3,6.0
Jacob Germany,CUSA,Jr,C,54.5,10.3462
Jason Jitoboh,SEC,Jr,C,4.4,0.9167
Christian Brown,OVC,Jr,Wing F,17.9,4.3529
Omar Payne,B10,Jr,C,37.6,3.75
Austin Crowley,SEC,Jr,Wing G,27.9,2.4074
Jalen Graham,P12,Jr,C,50.7,8.0952
Charles Smith IV,CUSA,Jr,Wing G,36.9,5.1765
Brice Williams,CUSA,Jr,Wing G,70.0,9.72
D.J. Thorpe,P12,Jr,C,11.0,1.24
Kadin Shedrick,ACC,So,C,8.6,2.5455
Dajuan Harris,B12,So,Pure PG,39.7,2.3667
Brandon Newman,B10,So,Wing G,58.6,8.0357
Jalen Thomas,SB,Jr,C,61.2,10.0556
Keshad Johnson,MWC,Jr,Stretch 4,28.1,3.9583
James Moors,MWC,So,PF/C,48.1,5.8276
